assessment_id,psid,rf_reference,agency_code,product_code,payer_id,payer_account_id,payer_name_snapshot,payer_id_masked,external_ref,description,currency,assessed_amount_minor,surcharge_accrued_minor,discount_applied_minor,payable_amount_minor,allocated_amount_minor,balance_minor,issue_date,due_date,expiry_date,status,source,version,metadata,waterfall
AS-00001,12010100000192486,RF5712010100000192486,FBR,FBR-IT-COMP,PY-C001,,Ahmed Traders (Pvt) Ltd,NTN ****00-1,DEMAND/IT/2026/4100,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,35990000,490000,0,35990000,35990000,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9100""}",PENALTY_FIRST
AS-00002,12010100000220967,RF8612010100000220967,FBR,FBR-IT-COMP,PY-C002,,Lahore Textile Mills Ltd,NTN ****37-2,DEMAND/IT/2026/4101,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,40306500,556500,0,40306500,40306500,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9101""}",PENALTY_FIRST
AS-00003,12010100000389025,RF8312010100000389025,FBR,FBR-IT-COMP,PY-C003,,Indus Logistics (Pvt) Ltd,NTN ****74-3,DEMAND/IT/2026/4102,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,45123000,623000,0,45123000,45123000,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9102""}",PENALTY_FIRST
AS-00004,12010100000485997,RF6312010100000485997,FBR,FBR-IT-COMP,PY-C004,,Karachi Steel Works Ltd,NTN ****11-4,DEMAND/IT/2026/4103,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,50589500,689500,0,50589500,20235800,30353700,2026-06-15,2026-07-15,,PARTIALLY_PAID,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9103""}",PENALTY_FIRST
AS-00005,12010100000587511,RF1712010100000587511,FBR,FBR-IT-COMP,PY-C005,,Ravi Engineering (Pvt) Ltd,NTN ****48-5,DEMAND/IT/2026/4104,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,54756000,756000,0,54756000,27378000,27378000,2026-06-15,2026-07-15,,PARTIALLY_PAID,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9104""}",PENALTY_FIRST
AS-00006,12010100000683459,RF9712010100000683459,FBR,FBR-IT-COMP,PY-C006,,Meridian Foods (Pvt) Ltd,NTN ****85-6,DEMAND/IT/2026/4105,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,59572500,822500,0,59572500,35743500,23829000,2026-06-15,2026-07-15,,PARTIALLY_PAID,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9105""}",PENALTY_FIRST
AS-00007,12010100000733644,RF9512010100000733644,FBR,FBR-IT-COMP,PY-C007,,Sapphire Chemicals Ltd,NTN ****22-7,DEMAND/IT/2026/4106,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,65189000,889000,0,65189000,45632300,19556700,2026-06-15,2026-07-15,,PARTIALLY_PAID,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9106""}",PENALTY_FIRST
AS-00008,12010100000831173,RF7112010100000831173,FBR,FBR-IT-COMP,PY-C008,,Northern Cement Company Ltd,NTN ****59-8,DEMAND/IT/2026/4107,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,69205500,955500,0,69205500,27682200,41523300,2026-06-15,2026-07-15,,PARTIALLY_PAID,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9107""}",PENALTY_FIRST
AS-00009,12010100000966361,RF0812010100000966361,FBR,FBR-IT-COMP,PY-C009,,Gulberg Software House (Pvt) Ltd,NTN ****96-9,DEMAND/IT/2026/4108,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,74022000,1022000,0,74022000,37011000,37011000,2026-06-15,2026-07-15,,PARTIALLY_PAID,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9108""}",PENALTY_FIRST
AS-00010,12010100001067875,RF5912010100001067875,FBR,FBR-IT-COMP,PY-C010,,Pak Agro Processing Ltd,NTN ****33-1,DEMAND/IT/2026/4109,Income Tax - Companies (Advance/Demand) - 2025-26,PKR,79788500,1088500,0,79788500,79788500,0,2026-06-15,2026-07-15,,SETTLED,AGENCY_API,1,"{""tax_year"": ""2025-26"", ""assessment_order"": ""AO-9109""}",PENALTY_FIRST
