statement_id,account_iban,entry_seq,entry_reference,booking_date,value_date,credit_debit,amount_minor,currency,end_to_end_id,uetr,bank_reference,remittance_information,debtor_name,debtor_bic,rail
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,1,HBL2026073000001,2026-07-31,2026-07-31,CRDT,350000,PKR,E2EP26000010000,8e5e4e8d-200a-4df4-86ce-864facf3868f,BREF0000001,PSID 41011400000415168 TRAFFIC E-CHALLAN - ,,EASYPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,2,HBL2026073000002,2026-07-29,2026-07-29,CRDT,1000000,PKR,E2EP26000020001,fceea5c4-8d5d-4fd8-8e19-e61fa4df7f64,BREF0000002,PSID 31010900001378322 MOTOR VEHICLE TOKEN ,,UNILPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,3,HBL2026073000003,2026-07-28,2026-07-28,CRDT,22100000,PKR,E2EP26000030002,,BREF0000003,PSID 21010700000751181 PUNJAB SALES TAX ON ,,NBPAPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,4,HBL2026073000004,2026-07-27,2026-07-27,CRDT,18922000,PKR,E2EP26000040003,,BREF0000004,PSID 12010200005030616 INCOME TAX - INDIVID,,ALFHPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,5,HBL2026073000005,2026-07-31,2026-07-31,CRDT,300000,PKR,E2EP26000050004,5cb69c76-1185-40fc-8577-3edd93971f5b,BREF0000005,PSID 41011300001502164 TRAFFIC E-CHALLAN - ,,JSBLPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,6,HBL2026073000006,2026-07-29,2026-07-29,CRDT,2480000,PKR,E2EP26000060005,,BREF0000006,PSID 31011100002088592 PROFESSIONAL TAX - B,,SCBLPKKX,PAYPAK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,7,HBL2026073000007,2026-07-28,2026-07-28,CRDT,5210000,PKR,E2EP26000070006,,BREF0000007,PSID 31011200002759402 PROPERTY TAX - URBAN,,FAYSPKKA,WALLET
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,8,HBL2026073000008,2026-07-27,2026-07-27,CRDT,72090000,PKR,E2EP26000080007,,BREF0000008,PSID 12010500002743126 CUSTOMS DUTY & TAXES,,MEZNPKKA,IBFT_1LINK
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,9,HBL2026073000009,2026-07-30,2026-07-30,CRDT,15800000,PKR,E2EP26000090008,,BREF0000009,PSID 21010700000453545 PUNJAB SALES TAX ON ,,JSBLPKKA,PRISM_RTGS
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,10,HBL2026073000010,2026-07-29,2026-07-29,CRDT,19200000,PKR,E2EP260000A0009,84a41257-fbdf-40b4-8855-3bdbb8369108,BREF0000010,PSID 22010800000305128 SINDH SALES TAX ON S,,HABBPKKA,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,11,HBL2026073000011,2026-07-28,2026-07-28,CRDT,15478000,PKR,E2EP260000B0010,c440a9c8-1356-47e2-82dc-0654480d00bf,BREF0000011,PSID 12010200004893001 INCOME TAX - INDIVID,,SCBLPKKX,RAAST
CAMT053-HBL-2026-07-30,PK36HABB0000009988776655,12,HBL2026073000012,2026-07-27,2026-07-27,CRDT,650000,PKR,E2EP260000C0011,,BREF0000012,PSID 41011400001019517 TRAFFIC E-CHALLAN - ,,UNILPKKA,IBFT_1LINK
