rtp_id,rtp_reference,agency_code,assessment_ids,psids,payer_id,payer_alias_type,payer_alias_value,resolved_payer_iban,resolved_payer_bank_bic,amount_minor,amount_modifiable,requested_execution_date,expires_at,created_at,status,decline_reason_code,rail_msg_id,rail_status_msg_id,fulfilling_payment_reference,reminder_count,payer_name,raast_id_expires_on
RT-0001,R260001,ETPB,AS-00065,31010900000925960,PY-I009,MSISDN,+923011063352,PK39HABB620443803128179,MUCBPKKA,1150000,N,2026-07-29,2026-07-29T23:59:00Z,2026-07-27T09:00:00Z,FULFILLED,,PAIN013-RT-0001,PAIN014-RT-0001,P260002H,0,Hamza Yousaf Sheikh,
RT-0002,R260002,ETPB,AS-00066,31010900001030807,PY-I010,MSISDN,+923011071271,PK89HABB693365765852879,EASYPKKA,1250000,N,2026-07-29,2026-07-29T23:59:00Z,2026-07-27T09:00:00Z,FULFILLED,,PAIN013-RT-0002,PAIN014-RT-0002,P260002J,0,Maryam Nawaz Cheema,
RT-0003,R260003,ETPB,AS-00067,31010900001168656,PY-I011,MSISDN,+923011079190,PK11HABB641729512362593,NBPAPKKA,1575000,N,2026-07-29,2026-07-29T23:59:00Z,2026-07-27T09:00:00Z,FULFILLED,,PAIN013-RT-0003,PAIN014-RT-0003,P260002K,0,Imran Shah Bukhari,
RT-0004,R260004,ETPB,AS-00068,31010900001239495,PY-I012,MSISDN,+923011087109,PK61HABB956176941395763,ALFHPKKA,1900000,N,2026-07-29,2026-07-29T23:59:00Z,2026-07-27T09:00:00Z,FULFILLED,,PAIN013-RT-0004,PAIN014-RT-0004,P260002M,0,Nadia Parveen,
RT-0005,R260005,ETPB,AS-00059,31010900000396648,PY-I003,MSISDN,+923011015838,PK93HABB845758362217009,NBPAPKKA,1650000,N,2026-08-04,2026-08-04T23:59:00Z,2026-07-29T09:00:00Z,DELIVERED,,PAIN013-RT-0005,PAIN014-RT-0005,,0,Ali Hassan Raza,
RT-0006,R260006,ETPB,AS-00060,31010900000455600,PY-I004,MSISDN,+923011023757,PK24HABB861349433263811,MUCBPKKA,1750000,N,2026-08-03,2026-08-03T23:59:00Z,2026-07-29T09:00:00Z,PRESENTED,,PAIN013-RT-0006,PAIN014-RT-0006,,0,Ayesha Bibi,
RT-0007,R260007,ETPB,AS-00061,31010900000509409,PY-I005,MSISDN,+923011031676,PK33HABB132464601328977,SCBLPKKX,1075000,N,2026-07-29,2026-07-29T23:59:00Z,2026-07-24T09:00:00Z,DECLINED,AM04_INSUFFICIENT_FUNDS,PAIN013-RT-0007,PAIN014-RT-0007,,0,Usman Ghani Butt,
RT-0008,R260008,ETPB,AS-00062,31010900000612177,PY-I006,MSISDN,+923011039595,PK25HABB107180000228419,SCBLPKKX,1400000,N,2026-07-28,2026-07-28T23:59:00Z,2026-07-21T09:00:00Z,EXPIRED,,PAIN013-RT-0008,PAIN014-RT-0008,,1,Zainab Malik,
RT-0009,R260009,ETPB,AS-00063,31010900000700304,PY-I007,MSISDN,+923011047514,PK61HABB626876953486525,ALFHPKKA,1500000,N,2026-08-05,2026-08-05T23:59:00Z,2026-07-29T09:00:00Z,ACCEPTED_FUTURE_DATED,,PAIN013-RT-0009,PAIN014-RT-0009,,0,Bilal Ahmad Chaudhry,
RT-0010,R260010,ETPB,AS-00064,31010900000871200,PY-I008,MSISDN,+923011055433,PK19HABB650416537332718,ALFHPKKA,1825000,N,2026-08-02,2026-08-02T23:59:00Z,2026-07-28T09:00:00Z,CANCELLED,AGENCY_WITHDRAWN,PAIN013-RT-0010,PAIN014-RT-0010,,0,Sana Tariq,2027-03-31
RT-0011,R260011,ETPB,AS-00147,31011200002288756,PY-I001,MSISDN,+923011000000,PK66HABB537766022372637,NBPAPKKA,2310000,Y,2026-08-06,2026-08-06T23:59:00Z,2026-07-30T09:00:00Z,DELIVERED,,PAIN013-RT-0011,PAIN014-RT-0011,,0,Muhammad Ahmed Khan,
RT-0012,R260012,ETPB,AS-00148,31011200002317567,PY-I002,MSISDN,+923011007919,PK53HABB448053443150534,SCBLPKKX,2890000,Y,2026-08-06,2026-08-06T23:59:00Z,2026-07-30T09:00:00Z,DELIVERED,,PAIN013-RT-0012,PAIN014-RT-0012,,0,Fatima Zahra Siddiqui,
RT-0013,R260013,ETPB,AS-00149,31011200002443136,PY-I003,MSISDN,+923011015838,PK26HABB163913846397946,EASYPKKA,3470000,Y,2026-08-06,2026-08-06T23:59:00Z,2026-07-30T09:00:00Z,DELIVERED,,PAIN013-RT-0013,PAIN014-RT-0013,,0,Ali Hassan Raza,
RT-0014,R260014,ETPB,AS-00069,31010900001378322,PY-I013,MSISDN,+923011095028,PK33HABB896385848746205,NBPAPKKA,1000000,N,2026-08-02,2026-08-02T23:59:00Z,2026-07-29T09:00:00Z,UNDELIVERABLE,ALIAS_EXPIRED,PAIN013-RT-0014,PAIN014-RT-0014,,0,Kamran Akmal Dar,2026-06-30
