line_no,revenue_head_code,psid,payer_name,payer_id_masked,tax_period,amount_minor,payment_reference,receipt_no,channel,rail,value_date,instrument_type,instrument_number,collecting_branch,ack_status,ack_reason
1,B01102,12010200004676828,Sana Tariq,CNIC ****97-8,2025-26,11900000,P2600011,FBR20260730000120037,CARD,PAYPAK,2026-07-30,,,,ACCEPTED,
2,B02388,12010200004676828,Sana Tariq,CNIC ****97-8,2025-26,134000,P2600011,FBR20260730000120074,CARD,PAYPAK,2026-07-30,,,,ACCEPTED,
3,B02389,12010400002413680,Gulberg Software House (Pvt) Ltd,NTN ****96-9,2026-06,355200,P2600019,FBR20260730000120111,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
4,B02341,12010400002413680,Gulberg Software House (Pvt) Ltd,NTN ****96-9,2026-06,44400000,P2600019,FBR20260730000120148,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
5,B02388,12010100001591754,Crescent Packaging Ltd,NTN ****18-6,2025-26,1421000,P260001H,FBR20260730000120185,ATM,IBFT_1LINK,2026-07-30,,,,ACCEPTED,
6,B01101,12010100001591754,Crescent Packaging Ltd,NTN ****18-6,2025-26,101500000,P260001H,FBR20260730000120222,ATM,IBFT_1LINK,2026-07-30,,,,ACCEPTED,
7,B02389,12010400001909944,Karachi Steel Works Ltd,NTN ****11-4,2026-06,223200,P2600025,FBR20260730000120259,CARD,PAYPAK,2026-07-30,,,,ACCEPTED,
8,B02341,12010400001909944,Karachi Steel Works Ltd,NTN ****11-4,2026-06,27900000,P2600025,FBR20260730000120296,CARD,PAYPAK,2026-07-30,,,,ACCEPTED,
9,B02388,12010100001105118,Descon Fabrication (Pvt) Ltd,NTN ****70-2,2025-26,1155000,P2600029,FBR20260730000120333,APP,RAAST,2026-07-30,,,,ACCEPTED,
10,B01101,12010100001105118,Descon Fabrication (Pvt) Ltd,NTN ****70-2,2025-26,82500000,P2600029,FBR20260730000120370,APP,RAAST,2026-07-30,,,,ACCEPTED,
11,B02389,12010400002186397,Meridian Foods (Pvt) Ltd,NTN ****85-6,2026-06,276000,P260002D,FBR20260730000120407,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
12,B02341,12010400002186397,Meridian Foods (Pvt) Ltd,NTN ****85-6,2026-06,34500000,P260002D,FBR20260730000120444,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
13,B02391,12010100000485997,Karachi Steel Works Ltd,NTN ****11-4,2025-26,650000,P260002Z,FBR20260730000120481,IBANKING,RAAST,2026-07-30,,,,REJECTED,HEAD_NOT_VALID_FOR_PERIOD
14,B02388,12010100000485997,Karachi Steel Works Ltd,NTN ****11-4,2025-26,689500,P260002Z,FBR20260730000120518,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
15,B01101,12010100000485997,Karachi Steel Works Ltd,NTN ****11-4,2025-26,18896300,P260002Z,FBR20260730000120555,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
16,B02391,12010100000733644,Sapphire Chemicals Ltd,NTN ****22-7,2025-26,800000,P2600032,FBR20260730000120592,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
17,B02388,12010100000733644,Sapphire Chemicals Ltd,NTN ****22-7,2025-26,889000,P2600032,FBR20260730000120629,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
18,B01101,12010100000733644,Sapphire Chemicals Ltd,NTN ****22-7,2025-26,43943300,P2600032,FBR20260730000120666,IBANKING,RAAST,2026-07-30,,,,ACCEPTED,
